"PROVMUN,C,5","COUNT,N,11,0","AVE_OBJECT,N,18,4","SUM_SHAPE_,N,18,4","SUM_SHAPE_1,N,18,4","FIRST_NOMB,C,85"
"pepe","pepe","pepe","pepe","pepe","pepe"
"46154",8,"7492,375","24623,699","9327907,361","Llanera de Ranes"
"46155",2,"7324,5","21178,7489","13680308,9517","Llaur›"
"46156",1,7214,"39727,4722","55299325,2175","Llombai"
"46157",4,"7426,75","16029,0255","7152567,2109","Llosa de Ranes (la)"
"46158",1,7180,"26154,0862","37697254,1065","Macastre"
"46159",1,7102,"20807,3015","19645710,795","Manises"
"46160",1,7398,"14202,3916","6115541,7075","Manuel"
"46161",1,6894,"36408,3283","36011202,5982","Marines"
"46162",1,7327,"12655,3553","7283107,263","Masalav⁄s"
"46163",1,7055,"8049,3413","2503570,2772","Massalfassar"
"46164",1,7031,"18040,5412","6294553,1987","Massamagrell"
"46165",1,7158,"16884,1647","5634847,1957","Massanassa"
"46166",1,7092,"9605,2394","4808495,2942","Meliana"
"46167",1,7264,"44643,1545","105632702,835","Millares"
"46168",1,7553,"7593,554","2450449,9888","Miramar"
"46169",1,7120,"7577,3058","2401950,573","Mislata"
"46170",1,7616,"56675,3544","149923479,944","Mogente/Moixent"
"46171",1,7029,"21873,7992","15865220,1043","Moncada"
"46172",1,7178,"27338,8567","45587042,0348","Monserrat"
"46173",1,7624,"14522,1793","7428776,4883","Montaverner"
"46174",1,7543,"29190,4665","48207109,4868","Montesa"
"46175",1,7618,"13892,0509","8085707,1551","Montichelvo"
"46176",1,7191,"23151,666","31406602,5268","Montroy"
"46177",1,7028,"18305,5112","12522533,0415","Museros"
"46178",1,6971,"27026,6523","38783295,4579","Nﬂquera"
"46179",1,7352,"31973,9864","46970169,3868","Navarr⁄s"
"46180",1,7531,"6318,7822","1481614,6301","Novel⁄/Novetlﬁ"
"46181",1,7571,"41274,3594","60080954,3344","Oliva"
"46182",1,6931,"26881,1051","37292044,4727","Olocau"
"46183",1,7577,"25901,0885","32378704,5672","Olleria (l')"
"46184",1,7655,"47925,3075","125668217,593","Ontinyent"
"46185",2,"7627,5","27826,8353","10957212,156","Otos"
"46186",1,7143,"8693,5295","3909450,3849","Paiporta"
"46187",1,7550,"25047,5778","13985887,9408","Palma de Gand›a"
"46188",1,7567,"4952,5112","940350,1481","Palmera"
"46189",2,"7660,5","24458,6941","7703345,8509","Palomar (el)"
"46190",1,7057,"33647,597","35967642,0508","Paterna"
"46191",1,6996,"34233,2764","58686828,2096","Pedralba"
"46192",1,6954,"6580,5367","1895974,4599","Petr⁄s"
"46193",1,7135,"14439,4409","7243071,1198","Picanya"
"46194",1,7172,"38264,5948","85838409,528","Picassent"
"46195",1,7559,"8260,2522","3929853,0554","Piles"
"46196",1,7461,"16475,4771","11803031,4943","Pinet"
"46197",1,7303,"18547,6096","12631842,7374","Poliny” de X∑quer"
"46198",1,7595,"9589,3849","3052242,3358","Potr›es"
"46199",1,7035,"14977,367","3449315,3308","Pobla de Farnals (la)"
"46200",1,7601,"25944,0611","19006220,2548","Pobla del Duc (la)"
"46201",1,6466,"34008,917","63503681,3793","Puebla de San Miguel"
"46202",1,6994,"32333,8162","33318728,7306","Pobla de Vallbona (la)"
"46203",2,"7382,5","20493,8026","10109390,1654","Pobla Llarga (la)"
"46204",1,7011,"27022,3019","26966430,4227","Puig"
"46205",1,7003,"19816,0895","18215970,8273","Pu˛ol"
"46206",1,7325,"64790,3268","72813722,8822","Quesa"
"46207",1,7023,"12069,4507","4084397,3714","Rafelbu±ol/Rafelbunyol"
"46208",1,7574,"6191,5692","1984350,0775","Rafelcofer"
"46209",1,7392,"27801,2411","16203603,5652","Rafelguaraf"
"46210",1,7646,"12043,8894","4439754,3027","Rﬂfol de Salem"
"46211",1,7555,"10999,5749","6069715,8424","Real de Gand›a"
"46212",1,7205,"22223,7793","18107655,2567","Real de Montroi"
"46213",1,7026,"139204,8411","814333974,719","Requena"
"46214",1,7059,"42919,3371","57534717,5561","Riba-roja de T∑ria"
"46215",1,7300,"14151,6226","5711277,6712","Riola"
"46216",1,7073,"9923,0922","2435607,7223","Rocafort"
"46217",2,7456,"19906,4158","6173744,0348","Rotgl” i Corber”"
"46218",1,7564,"12474,1899","7573179,2698","Rætova"
"46219",1,7634,"10881,0559","3008109,6351","Rugat"
"46220",1,6831,"101311,2643","132587624,456","Sagunto/Sagunt"
"46221",1,7657,"12618,7813","8479086,1754","Salem"
"46222",1,7386,"6323,4572","1882737,8246","San Juan de ?nova"
"46223",1,7146,"8516,8596","1756941,2168","Sedav›"
"46224",1,6953,"10645,3311","6728865,6422","Segart"
"46225",1,7412,"16226,0108","14082787,8002","Sellent"
"46226",1,7594,"11797,122","3711938,8236","Sempere"
"46227",1,7396,"6390,0427","1986512,3184","Senyera"
"46228",1,6928,"34254,2677","57271420,6854","Serra"
"46229",1,7086,"43173,7591","110711654,08","Siete Aguas"
"46230",1,7179,"23023,131","25104817,9443","Silla"
"46231",1,7387,"32648,0697","38373044,4821","Simat de la Valldigna"
"46232",1,6815,"45865,5392","102103185,674","Sinarcas"
"46233",1,7221,"34212,1996","39197383,5072","Sollana"
"46234",1,7007,"27307,5934","33793336,5345","Sot de Chera"
"46235",1,7227,"51944,9776","92749052,7829","Sueca"
"46236",1,7360,"22836,5805","20308838,8858","Sumac”rcer"
"46237",1,7108,"3597,8313","801336,8587","Tavernes Blanques"
"46238",1,7354,"31332,1417","49650924,7474","Tavernes de la Valldigna"
"46239",1,7332,"45624,2031","111058972,376","Teresa de Cofrentes"
"46240",1,7607,"12944,6538","6365642,6985","Terrateig"
"46241",1,6716,"40916,3073","62838711,0955","Titaguas"
"46242",2,6459,"14461,2601","2686470,3112","Torrebaja"
"46243",11,7513,"13766,6305","1108688,255","Torrella"
"46244",1,7137,"42092,4717","69451314,6401","Torrent"
"46245",1,6896,"24643,5657","12003975,9977","Torres Torres"
"46246",1,7265,"61950,714","127519370,773","Tous"
"46247",1,6766,"51899,3883","122220283,678","Tu⁄jar"
"46248",1,7165,"41418,3489","80376823,6763","Tur›s"
"46249",1,6965,"63618,1554","236535049,455","Utiel"
"46250",4,7069,"138314,6524","134514271,359","Valencia"
"46251",1,7585,"36229,8868","61805519,5339","Vallada"
"46252",1,6488,"36627,8741","56938233,776","Vallanca"
"46253",5,7509,"11272,1751","1222435,1019","Vall⁄s"
"46254",1,7094,"107590,4447","272604164,897","Venta del Moro"
"46255",1,7612,"31599,9887","43397162,1918","Villalonga"
"46256",1,7027,"36056,0034","70934666,8242","Vilamarxant"
"46257",1,7370,"23767,1511","20345697,4791","Villanueva de Castellæn"
"46258",1,6895,"28714,2322","40319504,2445","Villar del Arzobispo"
"46259",1,7072,"35860,5289","71336522,5444","Villargordo del Cabriel"
"46260",1,7083,"6236,242","1606371,402","Vinalesa"
"46261",1,7170,"49622,4656","120145711,024","Yﬂtova"
"46262",1,6637,"44635,2122","84945932,005","Yesa (La)"
"46263",1,7369,"35341,1468","49339186,1409","Zarra"
"46902",1,6839,"31483,0069","30141059,0361","Gﬂtova"
"46903",1,7042,"17072,8193","8837296,7117","San Antonio de Benag⁄ber"
"46904",1,9001,"8073,6753","3437823,3483","Benicull de X∑quer"
