"PROVMUN,C,5","COUNT,N,11,0","AVE_OBJECT,N,18,4","SUM_SHAPE_,N,18,4","SUM_SHAPE_1,N,18,4","FIRST_NOMB,C,85"
"pepe","pepe","pepe","pepe","pepe","pepe"
"03083",1,7836,"65760,0897","163485641,427","Jijona/Xixona"
"03084",1,7640,"24172,3352","31663288,6983","Lorcha/Orxa (l')"
"03085",1,7739,"26558,4312","22153300,0339","Ll›ber"
"03086",1,7763,"15893,4561","9853036,1045","Millena"
"03088",1,7942,"40031,2167","79436696,1434","Monforte del Cid"
"03089",1,7919,"54593,343","152242738,664","Monævar/Mon?ver"
"03090",1,7936,"34692,5144","47517000,2031","Mutxamel"
"03091",1,7733,"11357,0601","5906882,8657","Murla"
"03092",1,7700,"30572,5546","30705350,8419","Muro de Alcoy"
"03093",1,7946,"41572,2556","75860758,4258","Novelda"
"03094",1,7846,"29890,6313","21514411,1879","Nucia (la)"
"03095",1,7664,"18883,0641","10408020,6383","Ondara"
"03096",1,7830,"33343,9921","48838532,9965","Onil"
"03097",1,7714,"25315,4062","17884330,5844","Orba"
"03098",1,7869,"29229,2497","24086544,0627","Orxeta"
"03099",3,8065,"223785,4137","367185152,918","Orihuela"
"03100",1,7752,"14434,6699","11588808,0208","Parcent"
"03101",1,7690,"23879,4025","29571525,9982","Pedreguer"
"03102",1,7631,"32698,6708","53201629,0453","Pego"
"03103",1,7800,"46019,9536","50031019,8959","Pen”guila"
"03104",1,7885,"42841,8578","104541978,735","Petrer"
"03105",1,7922,"58658,1534","127049964,746","Pinoso"
"03106",1,7701,"27345,2513","38984627,2709","Planes"
"03107",1,7835,"21609,1316","22630180,7062","Polop"
"03109",1,8106,"6205,1975","1580399,696","Rafal"
"03110",1,7661,"12633,9237","4875872,5735","R”fol d'Almunia (El)"
"03111",1,8086,"20619,3997","9420859,0262","Redovﬂn"
"03112",1,7853,"39624,1765","77049778,5509","Relleu"
"03113",1,8105,"36905,0334","27593103,9113","Rojales"
"03114",1,7981,"31311,6878","43171586,5344","Romana (la)"
"03115",1,7681,"11520,6998","5479254,1444","Sagra"
"03116",1,7888,"32065,0861","61770827,872","Salinas"
"03117",1,7689,"7964,3614","3941423,4936","Sanet y Negrals"
"03118",1,8084,"21017,9287","19624562,7069","San Fulgencio"
"03119",1,7954,"13706,9063","9560555,1339","Sant Joan d'Alacant"
"03120",1,8149,"29535,723","54775421,4743","San Miguel de Salinas"
"03121",1,8031,"42068,2378","58306224,2263","Santa Pola"
"03122",1,7930,"37835,9401","40673110,1878","San Vicente del Raspeig/Sant Vicent del Raspeig"
"03123",1,7871,"31210,513","63412639,8337","Sax"
"03124",1,7838,"28576,0856","38997670,9299","Sella"
"03125",1,7764,"10674,3479","4831884,4914","Senija"
"03127",1,7777,"27827,3748","31799483,8455","Tﬂrbena"
"03128",1,7761,"28996,1393","32078210,2411","Teulada"
"03129",1,7877,"34817,3512","70362560,0148","Tibi"
"03130",1,7735,"19041,3445","15839869,2158","Tollos"
"03131",2,7707,"13813,6994","5233921,7205","Tormos"
"03132",1,7844,"28583,1881","36648515,3365","Torremanzanas/Torre de les Ma˛anes (la)"
"03133",1,8134,"42747,93","71373753,2798","Torrevieja"
"03134",1,7715,"24022,6962","22748593,0119","Vall d'Alcal” (la)"
"03135",1,7686,"23633,1089","32495643,4591","Vall de Ebo"
"03136",1,7654,"35437,7055","53712645,7312","Vall de Gallinera"
"03137",1,7723,"23954,8992","23137301,7515","Vall de Laguar (la)"
"03138",1,7647,"13397,2501","8186558,433","Verger (el)"
"03139",1,7879,"39133,1169","59185703,1944","Villajoyosa/Vila Joiosa (la)"
"03140",1,7745,"96464,7959","345710410,344","Villena"
"03901",1,7650,"8248,5999","3667214,8886","Poblets (els)"
"03902",1,8187,"42775,1157","76868405,6006","Pilar de la Horadada"
"03903",1,8129,"27996,2079","32861687,7204","Montesinos (Los)"
"03904",1,8049,"12876,0569","6816634,3709","San Isidro"
"12001",1,6210,"53848,2567","71623494,7647","Atzeneta del Maestrat"
"12002",1,6701,"16614,0101","12290421,5387","A›n"
"12003",1,5972,"45895,6079","82274143,9692","Alboc”sser"
"12004",1,6045,"61862,1668","167913838,001","Alcal” de Xivert"
"12005",1,6426,"44966,2455","94939840,9615","Alcora (l')"
"12006",1,6661,"31651,6198","30576640,4188","Alcudia de Veo"
"12007",1,6747,"25047,3706","28344081,1455","Alfondeguilla"
"12008",1,6671,"21565,0469","20434078,7049","Algimia de Almonacid"
"12009",1,6596,"34797,4177","32774307,2863","Almazora/Almassora"
"12010",1,6720,"19824,7447","20721073,7745","Almed›jar"
"12011",1,6854,"23466,0568","27545915,4066","Almenara"
"12012",1,6751,"47369,5327","129870599,07","Altura"
"12013",1,6458,"18830,2467","19260988,0168","Ara±uel"
"12014",1,5871,"51862,7186","118963191,951","Ares del Maestre"
"12015",1,6463,"19379,3929","15576257,4914","Argelita"
"12016",1,6680,"25435,445","36324409,8052","Artana"
"12017",1,6571,"23244,3874","24391682,3085","Ayædar"
"12018",1,6735,"22067,7163","23536376,0691","Azu⁄bar"
"12020",1,6553,"30974,2865","42117672,0034","Barracas"
"12021",1,6651,"18613,944","21350957,4556","Betx›"
"12022",1,6681,"28591,3748","42347653,4979","Bej›s"
"12024",1,6579,"29202,1878","17068873,1815","Benafer"
"12025",1,6161,"35268,7239","35513693,4465","Benafigos"
"12026",1,6001,"49501,0451","79594490,7103","Benasal"
"12027",1,5886,"31232,3684","48132096,2359","Benicarlæ"
"12028",1,6471,"27186,7642","36039975,4252","Benicasim/Benic”ssim"
